method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
decision_tree,voter,False,,3,False,0.124,0.327,0.248,0.582,0.248,0.582,1,1,3.40850340100042,0.000497636227917392
decision_tree,voter,False,,3,True,0.124,0.327,0.248,0.582,0.248,0.582,1,1,3.45523481000055,0.000497636227917392
decision_tree,voter,True,,3,False,0.124,0.327,0.248,0.582,0.248,0.582,1,1,3.66030162800053,0.000525282685023914
decision_tree,voter,True,,3,True,0.124,0.327,0.248,0.582,0.248,0.582,1,1,3.65577233499971,0.000525282685023914
decision_tree,voter,False,,5,False,0.018,0.291,0.046,0.636,0.046,0.636,1,1,3.44114793300014,0.00331757485278262
decision_tree,voter,False,,5,True,0.018,0.218,0.046,0.491,0.046,0.491,1,1,2.27355899000031,0.00331757485278262
decision_tree,voter,True,,5,False,0.023,0.309,0.046,0.545,0.046,0.545,1,1,3.74755787699996,0.00337286776699566
decision_tree,voter,True,,5,True,0.014,0.273,0.041,0.564,0.041,0.564,1,1,3.61305416800042,0.00326228193856957
decision_tree,voter,False,,8,False,0,0.291,0,0.564,0,0.564,0,1,3.51858252699913,0.00422990793729784
decision_tree,voter,False,,8,True,0,0.255,0,0.545,0,0.545,0,1,3.0826627890001,0.00461695833678914
decision_tree,voter,True,,8,False,0,0.255,0,0.527,0,0.527,0,1,3.7560397820007,0.00486577645074784
decision_tree,voter,True,,8,True,0,0.255,0,0.564,0,0.564,0,1,3.74917127800018,0.00450637250836305
decision_tree,RForest,False,,3,False,1.269,2.359,5.901,7.078,0.831,0.99,16,16,3.11905101499997,0.00109409190371991
decision_tree,RForest,False,,3,True,1.62,2.583,5.446,6.223,0.826,0.971,16,16,3.03566365900042,0.000741159031552199
decision_tree,RForest,True,,3,False,1.269,2.359,5.901,7.078,0.831,0.99,16,16,3.28134117299942,0.00109409190371991
decision_tree,RForest,True,,3,True,1.62,2.583,5.446,6.223,0.826,0.971,16,16,3.37668216899965,0.000741159031552199
decision_tree,RForest,False,,5,False,0.859,2.637,3.751,7.864,0.617,1.136,16,16,3.18814631100031,0.00663513799675302
decision_tree,RForest,False,,5,True,0.971,2.599,3.215,7.544,0.441,1.447,19,24,3.29624355700071,0.0154937530881626
decision_tree,RForest,True,,5,False,0.859,2.637,3.751,7.864,0.617,1.136,16,16,3.51303072800056,0.00614103197571822
decision_tree,RForest,True,,5,True,0.923,2.617,3.23,7.65,0.438,1.398,19,24,3.64123786400069,0.0154231665137291
decision_tree,RForest,False,,8,False,0.021,3.135,0.119,7.427,0.029,1.534,16,15,2.82321338499969,0.0514929060492694
decision_tree,RForest,False,,8,True,0,3.229,0,8.262,0,1.476,0,24,3.26557813299951,0.037516764311428
decision_tree,RForest,True,,8,False,0.028,3.371,0.165,7.893,0.039,1.602,16,16,4.04146116399897,0.0504341074327663
decision_tree,RForest,True,,8,True,0,2.845,0,7.553,0,1.456,0,24,3.92564975499954,0.0371285381520435
decision_tree,DTree,False,,3,False,0.764,0.714,4.338,4.264,0.826,0.816,16,16,0.809540975000346,0.00855048859934854
decision_tree,DTree,False,,3,True,0.757,0.717,4.343,4.259,0.825,0.815,16,16,1.18880426299984,0.00855048859934854
decision_tree,DTree,True,,3,False,0.764,0.714,4.338,4.264,0.826,0.816,16,16,0.999908906998826,0.00855048859934854
decision_tree,DTree,True,,3,True,0.757,0.717,4.343,4.259,0.825,0.815,16,16,33.4106915190005,0.00855048859934854
decision_tree,DTree,False,,5,False,0.623,0.588,3.188,3.065,0.696,0.676,16,16,0.994531800999539,0.0578175895765472
decision_tree,DTree,False,,5,True,0.781,0.743,3.293,3.241,0.679,0.675,23,23,1.60937951999949,0.0618892508143323
decision_tree,DTree,True,,5,False,0.623,0.588,3.188,3.065,0.696,0.676,16,16,1.23394825200012,0.0574104234527687
decision_tree,DTree,True,,5,True,0.781,0.743,3.293,3.241,0.679,0.675,23,23,1.89335592499992,0.0639250814332248
decision_tree,DTree,False,,8,False,0.531,0.562,2.477,2.611,0.504,0.555,16,16,1.62510764099898,0.390472312703583
decision_tree,DTree,False,,8,True,0.649,0.719,2.133,2.407,0.444,0.51,26,24,2.605588815999,0.484527687296417
decision_tree,DTree,True,,8,False,0.531,0.562,2.477,2.611,0.504,0.555,16,16,2.0766047420002,0.39128664495114
decision_tree,DTree,True,,8,True,0.649,0.719,2.133,2.407,0.444,0.51,26,24,3.09863906399914,0.461726384364821
decision_tree,max_128b,False,,3,False,2.043,0.859,5.15565631447163E+038,4.86623367476082E+038,64.889,65.538,1.84042584124345E+039,1.81946624287921E+039,8.24282022099942,0.0550919694930462
decision_tree,max_128b,False,,3,True,1.818,0.707,3.79354121236094E+038,3.87945281635759E+038,59.361,60.276,3.19014577009055E+039,2.76562338247568E+039,4.82980177500031,0.195782862270076
decision_tree,max_128b,True,,3,False,2.043,0.859,5.15565631447163E+038,4.86623367476082E+038,64.889,65.538,1.84042584124345E+039,1.81946624287921E+039,8.61028557400096,0.048721399730821
decision_tree,max_128b,True,,3,True,1.818,0.707,3.79354121236094E+038,3.87945281635759E+038,59.361,60.276,3.19014577009055E+039,2.76562338247568E+039,5.59590285900049,0.197308209959623
decision_tree,max_128b,False,,5,False,1.426,0.714,3.45209182580437E+038,3.56402573703332E+038,64.132,65.112,1.61968343335138E+039,1.52212011219878E+039,3.05599772300047,0.396769851951548
decision_tree,max_128b,False,,5,True,1.03,0.391,1.98175143845289E+038,2.08208834355286E+038,49.98,52.969,1.47209384723931E+039,1.27206105462979E+039,9.01710247899973,0.728757290264693
decision_tree,max_128b,True,,5,False,1.426,0.714,3.45209182580437E+038,3.56402573703332E+038,64.132,65.112,1.61968343335138E+039,1.52212011219878E+039,4.30731152299995,0.38842530282638
decision_tree,max_128b,True,,5,True,1.025,0.393,1.98978408976608E+038,2.12995495782765E+038,49.911,52.969,1.47209384723931E+039,1.34096755744852E+039,11.5246522830003,0.723553162853298
decision_tree,max_128b,False,,8,False,1.294,0.621,2.73936595860172E+038,3.74579772353936E+038,60.42,64.653,1.56434908920707E+039,1.62732952582622E+039,33.4160640050013,3.74921489457156
decision_tree,max_128b,False,,8,True,0.113,0.318,1.80619058900866E+037,2.004943617811E+038,10.442,59.673,8.50705917302346E+038,1.27555262664457E+039,89.6309467970004,6.94284432480933
decision_tree,max_128b,True,,8,False,1.294,0.616,2.73936595860172E+038,3.76861702827251E+038,60.42,64.796,1.56434908920707E+039,1.64749985440366E+039,56.1624599339993,3.65634813817856
decision_tree,max_128b,True,,8,True,0.125,0.287,1.76116003596471E+037,2.15234881505377E+038,10.401,59.128,8.51540741281633E+038,1.2693904253271E+039,128.241722318999,6.91763122476447
decision_tree,adder_128b,False,,3,False,9.1,3.156,6.57994049638179E+038,7.00959541169315E+038,65.135,65.379,2.91606054939739E+039,2.9107983232808E+039,23.709830197,0.123769338959212
decision_tree,adder_128b,False,,3,True,3.724,6.488,1.05910480941408E+039,1.18117862956304E+039,64.983,65.537,3.27481251897761E+039,3.31312390406443E+039,6.85765648800043,0.627754336615096
decision_tree,adder_128b,True,,3,False,9.1,3.156,6.57994049638179E+038,7.00959541169315E+038,65.135,65.379,2.91606054939739E+039,2.9107983232808E+039,22.5497685379996,0.146038443506798
decision_tree,adder_128b,True,,3,True,3.724,6.488,1.05910480941408E+039,1.18117862956304E+039,64.975,65.558,3.27481251897761E+039,3.31312390406443E+039,7.70119564200104,0.632911392405063
decision_tree,adder_128b,False,,5,False,3.173,1.86,3.98316149039807E+038,4.63473685653456E+038,64.369,64.366,3.21383739761836E+039,3.1773331991622E+039,3.86960284000088,0.969995311767464
decision_tree,adder_128b,False,,5,True,6.79,6.186,9.59561128254714E+038,1.09753052196072E+039,63.958,65.273,3.28091839146374E+039,3.29517601400512E+039,17.2394596739996,3.32794186591655
decision_tree,adder_128b,True,,5,False,3.173,1.86,3.98316149039807E+038,4.63473685653456E+038,64.369,64.366,3.21383739761836E+039,3.1773331991622E+039,5.02980392899917,0.954055321143929
decision_tree,adder_128b,True,,5,True,6.789,6.186,9.5955817753565E+038,1.09745976604489E+039,63.929,65.248,3.28091839146374E+039,3.29517601440126E+039,21.8317621869992,3.25925925925926
decision_tree,adder_128b,False,,8,False,1.13,1.433,3.2275439257634E+038,4.03933752142662E+038,63.299,64.722,3.39288178272608E+039,3.3370773646718E+039,50.7631834120002,10.0808720112518
decision_tree,adder_128b,False,,8,True,3.617,5.062,6.28206718276267E+038,1.12534861866934E+039,54.141,65.238,3.18340369354803E+039,3.27713380488168E+039,184.134138234,24.9428035630567
decision_tree,adder_128b,True,,8,False,1.13,1.433,3.2275439257634E+038,4.03933752142662E+038,63.299,64.722,3.39288178272608E+039,3.3370773646718E+039,66.2780349389996,9.89498359118612
decision_tree,adder_128b,True,,8,True,3.664,5.011,6.30468303442123E+038,1.13240628612073E+039,54.189,65.387,3.18510924529298E+039,3.21788431215434E+039,251.595519646,24.9221753398969
