method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
inconst,voter,False,0.01,,False,0.018,0,0.018,0,0.018,0,1,0,17.8463132500001,0.999834121257361
inconst,voter,True,0.01,,False,0.018,0,0.018,0,0.018,0,1,0,44.3047617189986,1.01169445135606
inconst,voter,False,0.05,,False,0.041,0,0.064,0.036,0.064,0.036,1,1,61.2110058680009,0.998258273202289
inconst,voter,True,0.05,,False,0.05,0,0.05,0,0.05,0,1,0,80.1275875460015,1.03652096983772
inconst,voter,False,0.1,,False,0.087,0.018,0.087,0.018,0.087,0.018,1,1,77.8930918029982,0.997788283431478
inconst,voter,True,0.1,,False,0.078,0.018,0.078,0.018,0.078,0.018,1,1,229.303401646997,1.03588510132427
inconst,RForest,False,0.01,,False,0,0,0,0,0,0,0,0,81.7130821430001,0.998270628926378
inconst,RForest,True,0.01,,False,0,0,0,0,0,0,0,0,714.238948606999,0.818804263429096
inconst,RForest,False,0.05,,False,0,0,0,0,0,0,0,0,75.9349456429991,0.998270628926378
inconst,RForest,True,0.05,,False,0,0,0,0,0,0,0,0,733.544830990999,0.818804263429096
inconst,RForest,False,0.1,,False,0,0,0,0,0,0,0,0,91.8068766949982,0.998270628926378
inconst,RForest,True,0.1,,False,0,0,0,0,0,0,0,0,740.946016641999,0.818804263429096
inconst,DTree,False,0.01,,False,0,0,0,0,0,0,0,0,3.53877123100028,0.995928338762215
inconst,DTree,True,0.01,,False,0.002,0.038,0.003,0.043,0.002,0.007,15,15,12.5791595110022,0.917345276872964
inconst,DTree,False,0.05,,False,0.041,0.045,0.069,0.066,0.016,0.012,15,15,21.0031061609989,0.960912052117264
inconst,DTree,True,0.05,,False,0.035,0.07,0.063,0.107,0.015,0.024,15,15,44.3289400390022,0.794788273615635
inconst,DTree,False,0.1,,False,0.095,0.109,0.189,0.169,0.06,0.052,15,15,55.303790351998,0.897801302931596
inconst,DTree,True,0.1,,False,0.079,0.103,0.232,0.244,0.076,0.09,15,15,78.9276105879981,0.637622149837134
inconst,voter,False,0.01,,False,0.018,0,0.018,0,0.018,0,1,0,18.058844854,0.999834121257361
inconst,voter,True,0.01,,False,0.018,0,0.018,0,0.018,0,1,0,40.021091891,1.01169445135606
inconst,voter,False,0.05,,False,0.041,0,0.064,0.036,0.064,0.036,1,1,61.876771366,0.998258273202289
inconst,voter,True,0.05,,False,0.05,0,0.05,0,0.05,0,1,0,77.584219287,1.03652096983772
inconst,voter,False,0.1,,False,0.087,0.018,0.087,0.018,0.087,0.018,1,1,75.0900898020001,0.997788283431478
inconst,voter,True,0.1,,False,0.078,0.018,0.078,0.018,0.078,0.018,1,1,230.069469045,1.03588510132427
inconst,barshift_128b,False,0.01,,False,0.007,0.007,1.3176311733748E+036,8.63227106675997E+035,0.488,0.525,1.70141183460469E+038,1.70141183460469E+038,3.85117684400029,0.998751440645409
inconst,barshift_128b,True,0.01,,False,0.007,0.281,1.3176311733748E+036,2.6945022756077E+037,0.488,21.961,1.70141183460469E+038,2.34197858969324E+038,8.63013062100072,0.840376488666923
inconst,barshift_128b,False,0.05,,False,0.012,0.014,2.03016005213143E+036,1.49011906466156E+036,0.995,1.035,1.70141183460469E+038,1.70141183460469E+038,5.28976938199958,0.997502881290818
inconst,barshift_128b,True,0.05,,False,0.007,0.281,1.3176311733748E+036,2.6945022756077E+037,0.488,21.961,1.70141183460469E+038,2.34197858969324E+038,8.6652066530005,0.840376488666923
inconst,barshift_128b,False,0.1,,False,0.012,0.014,2.03016005213143E+036,1.49011906466156E+036,0.995,1.035,1.70141183460469E+038,1.70141183460469E+038,5.2507922549994,0.997502881290818
inconst,barshift_128b,True,0.1,,False,0.007,0.281,1.3176311733748E+036,2.6945022756077E+037,0.488,21.961,1.70141183460469E+038,2.34197858969324E+038,8.61423444600041,0.840376488666923
inconst,sobel,False,0.01,,False,0.008,0.023,1.073,0.986,0.481,0.465,130,122,6.01294954100013,0.994130799329234
inconst,sobel,True,0.01,,False,0.004,0.02,0.473,1.514,0.244,0.385,128,56,7.78616578299989,1.0030743432085
inconst,sobel,False,0.05,,False,0.044,0.042,5.188,5.474,1.106,1.116,134,253,50.3475717459987,0.949972051425377
inconst,sobel,True,0.05,,False,0.045,0.059,5.612,7.106,1.231,1.353,173,173,92.9209460509992,0.678311906092789
inconst,sobel,False,0.1,,False,0.086,0.095,10.465,10.604,1.438,1.467,171,146,129.94329109,0.870318613750699
inconst,sobel,True,0.1,,False,0.088,0.12,11.14,13.608,1.522,1.58,162,195,125.038652687999,0.538569032979318
inconst,BK_32b,False,0.01,,False,0.008,0.008,25073712.48,24877939.891,13.495,13.445,66717866,66373359,137.582373543999,0.25023786869648
inconst,BK_32b,True,0.01,,False,0.01,0.016,30427758.218,49546928.589,13.713,14.446,133313079,199492014,52.8450836089978,0.148430066603235
inconst,BK_32b,False,0.05,,False,0.044,0.045,144604887.323,147095501.958,14.942,14.957,401280229,396219500,166.793480184002,0.137012369172217
inconst,BK_32b,True,0.05,,False,0.042,0.072,123570456.086,200037756.075,14.727,15.361,532299458,789200005,54.8243143710024,0.0846812559467174
inconst,BK_32b,False,0.1,,False,0.083,0.084,267706322.343,270767957.757,14.95,14.948,535497957,530437228,170.474834514,0.128449096098953
inconst,BK_32b,True,0.1,,False,0.06,0.161,179303205.924,399632132.34,15.428,15.622,533454797,1576149471,54.9958462620016,0.0637488106565176
inconst,KS_32b,False,0.01,,False,0.003,0.003,9120411.911,9022589.517,13.009,13.004,25076293,24883823,227.073820875998,0.279602750190986
inconst,KS_32b,True,0.01,,False,0.01,0.017,30609834.939,50170168.767,13.752,14.463,133012100,196642498,50.2912672429993,0.119938884644767
inconst,KS_32b,False,0.05,,False,0.007,0.008,22446812.253,22777756.494,14.011,14.004,66880344,66826863,260.188514625002,0.218487394957983
inconst,KS_32b,True,0.05,,False,0.04,0.078,122010563.946,203127121.008,14.756,15.418,533612955,798014543,52.0236682559989,0.0679908326967151
inconst,KS_32b,False,0.1,,False,0.049,0.05,146062800.713,144022626.67,14.974,14.975,400422211,396390544,306.986973850002,0.147440794499618
inconst,KS_32b,True,0.1,,False,0.059,0.178,179343647.866,418255125.554,15.45,15.691,534299684,1585994592,52.7375935550008,0.0511841100076394
inconst,CLA_16b,False,0.01,,False,0.006,0.006,277.498,278.788,5.484,5.506,763,764,31.5216107240012,0.514705882352941
inconst,CLA_16b,True,0.01,,False,0.008,0.026,420.047,1322.122,5.14,5.49,21865,22086,17.8060728719975,0.485294117647059
inconst,CLA_16b,False,0.05,,False,0.045,0.044,2233.996,2229.538,6.967,7.011,6123,6077,43.0324193409979,0.284926470588235
inconst,CLA_16b,True,0.05,,False,0.041,0.079,1986.636,3959.946,6.51,6.812,22595,10101,23.303955788997,0.244485294117647
inconst,CLA_16b,False,0.1,,False,0.074,0.068,3089.697,3001.373,7.424,7.42,12250,12185,45.0071511559981,0.242647058823529
inconst,CLA_16b,True,0.1,,False,0.06,0.154,2738.907,6116.758,7.427,7.666,8282,24104,25.9694721499982,0.123161764705882
inconst,Mul_16b,False,0.01,,False,0,0,41513.886,48982.835,8.571,8.552,5500303,5516352,2401.030085322,0.783486434522538
inconst,Mul_16b,True,0.01,,False,0,0,41513.886,48982.835,8.571,8.552,5500303,5516352,2560.59837986001,0.731147190771203
inconst,Mul_16b,False,0.05,,False,0,0,41513.886,48982.835,8.571,8.552,5500303,5516352,2422.179569228,0.783486434522538
inconst,Mul_16b,True,0.05,,False,0,0,41513.886,48982.835,8.571,8.552,5500303,5516352,2559.10973070099,0.731147190771203
inconst,BK_16b,False,0.01,,False,0.008,0.009,382.924,380.365,5.993,5.969,1528,1530,8.27066290900075,0.437743190661479
inconst,BK_16b,True,0.01,,False,0.005,0.005,220.794,220.198,5.482,5.509,679,676,6.87780908399873,0.424124513618677
inconst,BK_16b,False,0.05,,False,0.045,0.045,2224.332,2224.121,6.973,6.949,6115,6103,10.4310834759999,0.278210116731518
inconst,BK_16b,True,0.05,,False,0.043,0.045,1852.958,1849.09,6.951,6.973,6818,6758,6.02036328100076,0.235408560311284
inconst,BK_16b,False,0.1,,False,0.084,0.084,4100.09,4102.323,6.974,6.95,8163,8151,10.0739389080009,0.260700389105058
inconst,BK_16b,True,0.1,,False,0.084,0.087,3538.186,3541.986,7.413,7.45,10914,10854,7.94401652499982,0.155642023346304
inconst,CSkipA_16b,False,0.01,,False,0.008,0.009,383.793,383.519,5.983,6.015,1536,1522,8.47794461100057,0.437743190661479
inconst,CSkipA_16b,True,0.01,,False,0.005,0.005,220.701,222.034,5.478,5.528,682,672,7.08183418000044,0.424124513618677
inconst,CSkipA_16b,False,0.05,,False,0.045,0.045,2206.293,2225.722,6.95,6.977,6119,6088,10.618682029999,0.278210116731518
inconst,CSkipA_16b,True,0.05,,False,0.043,0.042,1858.769,1840.33,6.948,6.986,6791,6766,6.08966801799943,0.235408560311284
inconst,CSkipA_16b,False,0.1,,False,0.083,0.084,4091.872,4107.04,6.951,6.973,8167,8136,10.2362302150013,0.260700389105058
inconst,CSkipA_16b,True,0.1,,False,0.084,0.083,3539.364,3551.951,7.428,7.467,10879,10862,7.4808961079998,0.155642023346304
inconst,KS_16b,False,0.01,,False,0.006,0.006,275.905,274.285,5.479,5.49,762,763,9.86781686299946,0.512592592592593
inconst,KS_16b,True,0.01,,False,0.004,0.004,170.872,167.714,5.476,5.483,506,507,8.04100144200129,0.327407407407407
inconst,KS_16b,False,0.05,,False,0.007,0.007,341.168,342.377,5.971,5.988,1014,1015,11.1696020269992,0.422222222222222
inconst,KS_16b,True,0.05,,False,0.035,0.036,1528.292,1582.007,6.946,6.993,6125,6131,7.12065318500027,0.179259259259259
inconst,KS_16b,False,0.1,,False,0.089,0.091,4096.58,4132.877,7.42,7.464,8173,8179,15.9040408740002,0.253333333333333
inconst,KS_16b,True,0.1,,False,0.085,0.089,3699.852,3778.101,7.207,7.247,14322,14175,7.860395402,0.131851851851852
inconst,LFA_16b,False,0.01,,False,0.008,0.008,386.038,374.816,5.98,5.981,1530,1533,8.54377941700113,0.437743190661479
inconst,LFA_16b,True,0.01,,False,0.005,0.005,241.762,242.298,5.246,5.24,849,842,7.38755094100088,0.433852140077821
inconst,LFA_16b,False,0.05,,False,0.045,0.044,2219.528,2206.742,6.951,6.988,6105,6050,10.7036095800013,0.278210116731518
