method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
outconst,voter,True,0.01,,False,0.514,0.473,0.514,0.473,0.514,0.473,1,1,241.21247848,0
outconst,voter,True,0.01,,False,0.514,0.473,0.514,0.473,0.514,0.473,1,1,1535.11027335,0
outconst,voter,True,0.05,,False,0.514,0.473,0.514,0.473,0.514,0.473,1,1,241.445326336001,0
outconst,voter,True,0.05,,False,0.514,0.473,0.514,0.473,0.514,0.473,1,1,240.428870809003,0
outconst,voter,True,0.1,,False,0.514,0.473,0.514,0.473,0.514,0.473,1,1,227.275935076999,0
outconst,voter,True,0.1,,False,0.514,0.473,0.514,0.473,0.514,0.473,1,1,213.086778310997,0
outconst,RForest,True,0.01,,False,0.172,0.398,0.172,0.553,0.172,0.398,1,2,36.3646724650025,0.942013129102845
outconst,RForest,True,0.01,,False,0.172,0.398,0.172,0.553,0.172,0.398,1,2,36.3403477469983,0.942013129102845
outconst,RForest,True,0.05,,False,0.172,0.398,0.172,0.553,0.172,0.398,1,2,36.2599472910006,0.942013129102845
outconst,RForest,True,0.05,,False,0.172,0.398,0.172,0.553,0.172,0.398,1,2,36.0370987989991,0.942013129102845
outconst,RForest,True,0.1,,False,0.172,0.398,0.172,0.553,0.172,0.398,1,2,36.2459143929991,0.942013129102845
outconst,RForest,True,0.1,,False,0.172,0.398,0.172,0.553,0.172,0.398,1,2,35.9976807210005,0.942013129102845
outconst,DTree,True,0.01,,False,0.218,0.443,0.218,0.677,0.218,0.443,1,2,3.76501314000052,0.733306188925081
outconst,DTree,True,0.01,,False,0.218,0.443,0.218,0.677,0.218,0.443,1,2,3.82106889799979,0.733306188925081
outconst,DTree,True,0.05,,False,0.218,0.443,0.218,0.677,0.218,0.443,1,2,3.79560337300063,0.733306188925081
outconst,DTree,True,0.05,,False,0.218,0.443,0.218,0.677,0.218,0.443,1,2,3.80707407500086,0.733306188925081
outconst,DTree,True,0.1,,False,0.218,0.443,0.218,0.677,0.218,0.443,1,2,3.80621920699923,0.733306188925081
outconst,DTree,True,0.1,,False,0.218,0.443,0.218,0.677,0.218,0.443,1,2,3.80686831300045,0.733306188925081
outconst,voter,True,0.01,,False,0.514,0.473,0.514,0.473,0.514,0.473,1,1,239.268983194,0
outconst,voter,True,0.01,,False,0.514,0.473,0.514,0.473,0.514,0.473,1,1,233.426321707,0
outconst,voter,True,0.05,,False,0.514,0.473,0.514,0.473,0.514,0.473,1,1,233.503807091,0
outconst,voter,True,0.05,,False,0.514,0.473,0.514,0.473,0.514,0.473,1,1,234.198973709,0
outconst,voter,True,0.1,,False,0.514,0.473,0.514,0.473,0.514,0.473,1,1,237.664853898,0
outconst,barshift_128b,True,0.01,,False,0.007,0.016,3.35032380944681E+035,6.81920873897696E+035,59.356,60.434,6.64593531418487E+035,1.3287617912679E+036,404.742597160999,0.485209373799462
outconst,barshift_128b,True,0.01,,False,0.007,0.016,3.35032380944681E+035,6.81920873897696E+035,59.356,60.434,6.64593531418487E+035,1.3287617912679E+036,404.861497380001,0.485209373799462
outconst,barshift_128b,True,0.05,,False,0.043,0.094,2.66426399879042E+036,5.25407060336937E+036,60.847,61.892,5.31575233183499E+036,1.06333577617623E+037,409.004173884001,0.341913177103342
outconst,barshift_128b,True,0.05,,False,0.043,0.094,2.66426399879042E+036,5.25407060336937E+036,60.847,61.892,5.31575233183499E+036,1.06333577617623E+037,410.347216024,0.341913177103342
outconst,barshift_128b,True,0.1,,False,0.08,0.149,5.37697419426984E+036,1.03835589730032E+037,61.357,62.375,1.06215592755765E+037,2.11924513311968E+037,412.886335529001,0.281982328082981
outconst,barshift_128b,True,0.1,,False,0.08,0.149,5.37697419426984E+036,1.03835589730032E+037,61.357,62.375,1.06215592755765E+037,2.11924513311968E+037,412.441281057001,0.281982328082981
outconst,sobel,True,0.01,,False,0.01,0.026,2.003,4.962,1.251,1.987,3,7,7.07111006899868,0.863890441587479
