method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
probprun,DTree,False,0.01,,False,0.01,0.011,0.029,0.029,0.01,0.011,16,16,7.113644117001968,0.9869706840390878
probprun,DTree,True,0.01,,False,0.01,0.011,0.029,0.029,0.01,0.011,16,16,113.70685207499992,0.8387622149837133
probprun,DTree,False,0.05,,False,0.047,0.055,0.141,0.151,0.045,0.048,16,16,9.882993218998308,0.9356677524429967
probprun,DTree,True,0.05,,False,0.01,0.011,0.029,0.029,0.01,0.011,16,16,112.85888335900017,0.8387622149837133
probprun,DTree,False,0.1,,False,0.088,0.095,0.363,0.363,0.087,0.089,16,16,9.80836257899864,0.8880293159609121
probprun,DTree,True,0.1,,False,0.01,0.011,0.029,0.029,0.01,0.011,16,16,111.54175614000269,0.8387622149837133
probprun,barshift_128b,False,0.01,,False,0.006,0.005,6.31336245963776e+35,5.721460787847989e+35,0.215,0.226,42535295865117307932921825928971026432,42535295865117307932921825928971026432,6.358086819000164,0.9992316557817903
probprun,barshift_128b,True,0.01,,False,0.006,0.005,6.31336245963776e+35,5.721460787847989e+35,0.215,0.226,42535295865117307932921825928971026432,42535295865117307932921825928971026432,16.011812144999567,0.9989435266999617
probprun,barshift_128b,False,0.05,,False,0.047,0.062,6.507188316084298e+36,7.91586037475637e+36,2.522,2.833,95704740227447039447586557206653304832,95704740227447039447586557206653304832,9.791431096000451,0.9911640414905878
probprun,barshift_128b,True,0.05,,False,0.025,0.031,3.9458260618975924e+36,4.675792166479506e+36,0.538,0.592,95704415696513942849074108340184809472,95704415696513942849074108340184809472,897.074018258998,0.9973107952362659
probprun,barshift_128b,False,0.1,,False,0.098,0.12,1.6075794882968412e+37,1.7859311158739943e+37,3.506,3.917,223310465551142695861202977706316136448,223310465551142695879649792147561906176,15.554178613998374,0.987706492508644
probprun,barshift_128b,True,0.1,,False,0.025,0.031,3.9458260618975924e+36,4.675792166479506e+36,0.538,0.592,95704415696513942849074108340184809472,95704415696513942849074108340184809472,902.6822359010002,0.9973107952362659
probprun,sobel,False,0.01,,False,0.007,0.007,0.961,1.001,0.205,0.227,32,32,8.270696488001704,0.9812744550027949
probprun,sobel,True,0.01,,False,0.003,0.005,0.541,1.019,0.017,0.03,128,128,222.7579923859994,0.849357182783678
probprun,sobel,False,0.05,,False,0.049,0.066,6.344,7.181,0.44,0.495,141,135,7.031602674000169,0.9795975405254331
probprun,sobel,True,0.05,,False,0.003,0.005,0.541,1.019,0.017,0.03,128,128,220.96040075400015,0.849357182783678
probprun,sobel,False,0.1,,False,0.077,0.086,9.439,10.027,0.767,0.791,182,135,9.709134723001625,0.9717719396310787
probprun,sobel,True,0.1,,False,0.003,0.005,0.541,1.019,0.017,0.03,128,128,221.748694265003,0.849357182783678
probprun,BK_32b,False,0.01,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.621072803998686,1.0
probprun,BK_32b,True,0.01,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.99074579200169,0.978116079923882
probprun,BK_32b,False,0.05,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.31479607899746,1.0
probprun,BK_32b,True,0.05,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.766126638001879,0.978116079923882
probprun,BK_32b,False,0.1,,False,0.096,0.096,379235944.852,384320139.855,8.091,8.104,1377058816,1376009408,9.736567170999479,0.8496669838249287
probprun,BK_32b,True,0.1,,False,0.094,0.092,372468606.772,377016641.182,0.985,1.001,1342177280,1342177280,41.37208025699874,0.9543292102759277
probprun,KS_32b,False,0.01,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.153431627997634,1.0
probprun,KS_32b,True,0.01,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.770698903997982,0.9587471352177235
probprun,KS_32b,False,0.05,,False,0.02,0.019,65520729.307,63767430.829,1.329,1.321,2894594048,2885959680,4.266499621000548,0.9755538579067992
probprun,KS_32b,True,0.05,,False,0.02,0.019,65437266.39,63701432.792,0.833,0.828,2894594048,2885713920,52.428981597997335,0.9098548510313216
probprun,KS_32b,False,0.1,,False,0.086,0.076,343791831.68,308988623.321,1.629,1.6,2894594048,2885959680,6.993503523997788,0.9663865546218489
probprun,KS_32b,True,0.1,,False,0.02,0.019,65437266.39,63701432.792,0.833,0.828,2894594048,2885713920,52.57425051099926,0.9098548510313216
probprun,CLA_16b,False,0.01,,False,0.001,0.001,31.265,32.896,0.245,0.251,256,256,4.8277157849988726,0.9926470588235293
probprun,CLA_16b,True,0.01,,False,0.001,0.001,31.265,32.896,0.245,0.251,256,256,6.255794175998744,0.9852941176470589
probprun,CLA_16b,False,0.05,,False,0.001,0.001,31.265,32.896,0.245,0.251,256,256,4.912790446000145,0.9926470588235293
probprun,CLA_16b,True,0.05,,False,0.001,0.001,31.265,32.896,0.245,0.251,256,256,6.6293586339998,0.9852941176470589
probprun,CLA_16b,False,0.1,,False,0.001,0.001,31.265,32.896,0.245,0.251,256,256,4.900109017999057,0.9926470588235293
probprun,CLA_16b,True,0.1,,False,0.001,0.001,31.265,32.896,0.245,0.251,256,256,6.314934632999211,0.9852941176470589
probprun,Mul_16b,False,0.01,,False,0.001,0.002,1157004.241,828479.685,0.26,0.372,67174400,67109376,26.305124386999523,0.9800256355479599
probprun,Mul_16b,True,0.01,,False,0.001,0.002,1157004.241,828479.685,0.26,0.372,67174400,67109376,63.527557161000004,0.9553514206366162
probprun,Mul_16b,False,0.05,,False,0.001,0.002,1157004.241,828479.685,0.26,0.372,67174400,67109376,25.85238905799997,0.9800256355479599
probprun,Mul_16b,True,0.05,,False,0.001,0.002,1157004.241,828479.685,0.26,0.372,67174400,67109376,63.66387837399816,0.9553514206366162
probprun,Mul_16b,False,0.1,,False,0.001,0.002,1157004.241,828479.685,0.26,0.372,67174400,67109376,26.194298881000577,0.9800256355479599
probprun,Mul_16b,True,0.1,,False,0.001,0.002,1157004.241,828479.685,0.26,0.372,67174400,67109376,64.29447455300033,0.9553514206366162
probprun,BK_16b,False,0.01,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.77041659599854,1.0
probprun,BK_16b,True,0.01,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.708342428002652,1.2937743190661477
probprun,BK_16b,False,0.05,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.56085569300194,1.0
